,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2008-05-31,0.0652685357277,0.130067823966,0.804663640307,0.075,0.042,0.883,-0.00108956263033,0.0013679949217
2008-06-30,0.059743126087,0.103264253957,0.836992619956,0.076,0.038,0.886,-0.0115010944085,-0.0127690215484
2008-07-31,0.0294022263297,0.0639078740093,0.906689899661,0.07,0.039,0.89,0.00385122089926,-0.000183903678071
2008-08-31,0.0360884178033,0.110157786951,0.853753795246,0.065,0.044,0.891,-0.00797231162794,-0.000148597810451
2008-09-30,0.0497576069409,0.0991397568109,0.851102636248,0.069,0.037,0.894,0.00425169164932,0.00487765513575
2008-10-31,0.0290215826177,0.0847777835784,0.886200633804,0.064,0.036,0.9,-0.0309914684029,-0.0377011584342
2008-11-30,0.0,0.0555235373193,0.944476462681,0.025,0.031,0.944,0.000935627821338,0.000392286103192
2008-12-31,0.0,0.0738458190581,0.926154180942,0.017,0.021,0.963,0.0399436767658,0.0367027696653
2009-01-31,0.0,0.0756971478078,0.924302852192,0.017,0.02,0.963,0.0158332536024,0.0134921831596
2009-02-28,0.0,0.0785126356194,0.921487364381,0.015,0.022,0.963,0.00141080142827,-0.00524456189571
2009-03-31,0.0,0.0903242055899,0.90967579441,0.008,0.034,0.958,-0.000742359016948,-0.000374743511478
2009-04-30,0.0,0.0760354719334,0.923964528067,0.003,0.031,0.966,0.00674775750693,0.00915863535179
2009-05-31,0.0,0.0665018477325,0.933498152268,0.008,0.031,0.962,0.0088528178062,0.00820014240601
2009-06-30,3.97096176489e-17,0.0746585170537,0.925341482946,0.011,0.033,0.956,0.000294625778721,-0.000401063832502
2009-07-31,4.38175091298e-17,0.0678425372983,0.932157462702,0.014,0.035,0.951,0.0151840879783,0.0161234296049
2009-08-31,0.0,0.0521324703091,0.947867529691,0.013,0.034,0.952,0.00984844641981,0.0106127991617
2009-09-30,7.51157299369e-18,0.0388023863283,0.961197613672,0.013,0.037,0.95,0.0161873713942,0.0163874408462
2009-10-31,5.88406551172e-18,0.0792513854374,0.920748614563,0.014,0.039,0.947,0.0101769660407,0.00878848027173
2009-11-30,4.94120660991e-18,0.0897422280768,0.910257771923,0.016,0.041,0.944,0.0133929192999,0.0101689962327
2009-12-31,0.0461028926628,0.100087597327,0.85380951001,0.017,0.042,0.94,0.00232825201286,0.00119447448763
2010-01-31,0.0542713874881,0.0900136486858,0.855714963826,0.018,0.041,0.941,0.00168528326687,0.0021582374014
2010-02-28,0.174152962993,0.0784901029741,0.747356934033,0.02,0.04,0.94,-0.00388073787749,0.00243025240613
2010-03-31,0.0653748644529,0.0473965827667,0.88722855278,0.019,0.036,0.944,0.00926056966397,0.00667114702267
2010-04-30,0.0247331421524,0.0356014639532,0.939665393894,0.021,0.041,0.937,0.00387132800023,0.00387714094433
2010-05-31,0.0300490841013,0.0522790725686,0.91767184333,0.024,0.047,0.928,0.0134790165146,0.0137549904005
